activitynumber	activityname	subjectID	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tBodyAcc-mean()-Z	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-mean()	tBodyAccMag-std()	tGravityAccMag-mean()	tGravityAccMag-std()	tBodyAccJerkMag-mean()	tBodyAccJerkMag-std()	tBodyGyroMag-mean()	tBodyGyroMag-std()	tBodyGyroJerkMag-mean()	tBodyGyroJerkMag-std()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAcc-meanFreq()-X	fBodyAcc-meanFreq()-Y	fBodyAcc-meanFreq()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyAccJerk-meanFreq()-X	fBodyAccJerk-meanFreq()-Y	fBodyAccJerk-meanFreq()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyGyro-meanFreq()-X	fBodyGyro-meanFreq()-Y	fBodyGyro-meanFreq()-Z	fBodyAccMag-mean()	fBodyAccMag-std()	fBodyAccMag-meanFreq()	fBodyBodyAccJerkMag-mean()	fBodyBodyAccJerkMag-std()	fBodyBodyAccJerkMag-meanFreq()	fBodyBodyGyroMag-mean()	fBodyBodyGyroMag-std()	fBodyBodyGyroMag-meanFreq()	fBodyBodyGyroJerkMag-mean()	fBodyBodyGyroJerkMag-std()	fBodyBodyGyroJerkMag-meanFreq()
1	WALKING	15	0.277439991675393	-0.0169163376890052	-0.108149118235602	-0.308181665616754	0.0049604755334555	-0.246506701836126	0.932085430314136	-0.219040185623037	-0.0357040080214607	-0.975877197643979	-0.96495219513089	-0.95362558486911	0.085352879996178	-0.00188220572303665	-0.0130476625202618	-0.256134531373246	-0.0816695338989529	-0.44223954913089	-0.0146777676737173	-0.0782888067458115	0.0840360955887435	-0.458695734649215	-0.360536058243455	-0.324061965288482	-0.111037394890942	-0.0364481835575393	-0.0554233995967539	-0.3482980242	-0.489133476258115	-0.441556517595288	-0.15141286828178	-0.329822954727749	-0.15141286828178	-0.329822954727749	-0.223779056414136	-0.185810870933508	-0.278055357087958	-0.364543339388482	-0.450306474502618	-0.459723969561257	-0.294232675712042	-0.014526155208377	-0.317052209848691	-0.315401313546073	-0.0498768199534031	-0.269767526958063	-0.259717000079581	0.0523476949757068	0.12074462723288	-0.296367639932775	-0.14777139337733	-0.407311140407853	-0.281770376434555	-0.0716419448757068	-0.475982770073298	-0.219707001059162	-0.359274992322513	-0.185518238455969	-0.322023559550785	-0.378911697765812	-0.296002620418325	-0.503757802910995	-0.358552857828796	-0.397478684204188	-0.0502157904340314	-0.0513791176332984	-0.0860530481525654	-0.271226154516754	-0.471031081937173	0.196143307555199	-0.194848601428586	-0.18172035659267	0.07692485663089	-0.391889561215654	-0.45850252539267	0.186360381530366	-0.483159274626126	-0.469623703336126	0.123263571452199
1	WALKING	16	0.27688270784153	-0.0178042822028962	-0.108762408486339	-0.302555774793443	0.000920464074562841	-0.273332181303525	0.932713778196721	-0.211202320620219	-0.0513472940556202	-0.978862725464481	-0.96842612715847	-0.958637116502732	0.0779674837615574	0.0131601980112022	0.00772088733387978	-0.237432489689891	-0.0786789838812568	-0.458459077954098	-0.0381561583904918	-0.0710535050523497	0.0853009405417882	-0.476569684071038	-0.338648167042896	-0.348598426506557	-0.0818471072347705	-0.0389839531415301	-0.0550318843556557	-0.359812505846995	-0.493377196368579	-0.423558699222131	-0.153218494298022	-0.321557511031913	-0.153218494298022	-0.321557511031913	-0.21784717461612	-0.176079414199454	-0.281531713293989	-0.36897206902459	-0.442535790040984	-0.481643380139071	-0.275675180760519	-0.0176483983127322	-0.334154268154918	-0.314917018307924	-0.0542055159272678	-0.299762586592322	-0.272610610750546	0.059071425443306	0.122708869702287	-0.283902352671858	-0.147685678719126	-0.432138363156011	-0.257963032855464	-0.0658540407500273	-0.483873301043716	-0.260187693595902	-0.345791792439071	-0.205497951425738	-0.337018612405191	-0.374026252525956	-0.307101249674863	-0.522736606210383	-0.325883751923388	-0.425137632868852	-0.036596106179235	-0.0556471862153552	-0.0272900277027869	-0.258558007330328	-0.466828413934426	0.192245772837104	-0.176274506485246	-0.183208895716858	0.0635531613653743	-0.393660437598087	-0.464206847685792	0.177878874939262	-0.498159535737705	-0.498429834094262	0.133813585982514
1	WALKING	17	0.274255506793478	-0.0174176355680812	-0.112040588538043	-0.315586437716848	-0.0286139273954891	-0.253044135959891	0.932672712038043	-0.18885759319837	-0.0761790851032609	-0.978547819293478	-0.965000653478261	-0.95336845423913	0.0747922100502717	0.0194063285613587	-0.00139190776763587	-0.272693625343478	-0.126644971427644	-0.459694286675815	-0.0439862563055435	-0.0612345876393207	0.0863321921085326	-0.486852748696196	-0.33578722988712	-0.329879142654891	-0.103281918516486	-0.0413261664304348	-0.0498031642403804	-0.386696955228261	-0.502419388275815	-0.448474699189674	-0.165929535501902	-0.333490743621929	-0.165929535501902	-0.333490743621929	-0.243531754268207	-0.224565078419864	-0.273926151579891	-0.376194346318207	-0.456772314058424	-0.497481899544022	-0.303890156228804	-0.0597877393979348	-0.32161382777481	-0.321770747482609	-0.0754379605505435	-0.276522827585326	-0.286368345954348	0.0331622127461957	0.0710814005139402	-0.315131536913342	-0.192138115627989	-0.43274902627087	-0.294331091547554	-0.114933631317962	-0.486009508650788	-0.254056004456522	-0.359486310059783	-0.253330247402745	-0.36288862974538	-0.37784939442337	-0.306789929163587	-0.527823808284783	-0.318945621666386	-0.401387609377717	-0.069092976431087	-0.0998218201015489	-0.0678303336812228	-0.273203901978804	-0.475137842201087	0.18522236746087	-0.222595359496413	-0.233505395837772	0.0761303437091304	-0.406440271944565	-0.46542413010625	0.156393914752908	-0.514965525641848	-0.512301019242663	0.140304507969076
1	WALKING	19	0.277804437388889	-0.0178033143654556	-0.106462661943611	-0.298865924650583	-0.0388494624026389	-0.283899202275833	0.937888706027778	-0.1968876439	-0.0423508940803056	-0.975760685472222	-0.967281774805556	-0.952660483888889	0.0746434789936389	0.00775998699167089	-0.00581393242369444	-0.239745935868778	-0.102177984119444	-0.485680990991056	-0.0306408249809722	-0.0676601644102306	0.0842368096854722	-0.453936808913889	-0.323045182270417	-0.310068822623333	-0.0982458633700833	-0.0449580471435	-0.0516436566863889	-0.357834203054722	-0.517026530583333	-0.430679102141944	-0.167026655504722	-0.323315672098889	-0.167026655504722	-0.323315672098889	-0.229382705378611	-0.205000492956389	-0.249186672394194	-0.369322343310556	-0.454253834797222	-0.504116992115	-0.274299072242778	-0.0459314445975556	-0.345264253934167	-0.309996366424167	-0.0976382559605556	-0.308656777823333	-0.276971018365278	0.06348454030925	0.0790905328411944	-0.282443809478889	-0.163646959882253	-0.452506901288889	-0.263901391403528	-0.0960604359830611	-0.517671719044444	-0.241160627858417	-0.341658470123083	-0.203334493222778	-0.329092951424444	-0.369742169940306	-0.282407845305056	-0.495478144716556	-0.303264651546944	-0.384218925722222	-0.0647332796528889	-0.126955709607778	-0.09309842845875	-0.251287372246861	-0.474247683916667	0.190757265080667	-0.195993057009444	-0.223515351764444	0.0962218951369444	-0.399043498694722	-0.460361183661111	0.152763180135778	-0.514334219152778	-0.527434766407222	0.135463720042417
1	WALKING	21	0.276115502352941	-0.0189097877314755	-0.108726652534314	-0.336287564831127	-0.0414192063818137	-0.292488543732108	0.93716752002451	-0.182471689621078	-0.0544775502968137	-0.97790340375	-0.967432026985294	-0.953595460980392	0.0743467428297794	0.0130179651643137	-0.00375649879882598	-0.309376994881373	-0.116202091268211	-0.519859787358578	-0.0368838119220098	-0.0728390254891912	0.0901649801571569	-0.466255919183824	-0.375560906480392	-0.365383155091912	-0.0867417181479093	-0.0569552462908333	-0.0586536025435294	-0.406829262237745	-0.541029533340686	-0.481648308468137	-0.187905236803544	-0.364688512492647	-0.187905236803544	-0.364688512492647	-0.273665961544804	-0.255455787872794	-0.286140982690319	-0.41127560096299	-0.486143448799755	-0.524163634031961	-0.327524394116667	-0.0584968914185294	-0.369310161415441	-0.341249771435784	-0.0949870174320588	-0.307946746290686	-0.317177629106127	0.0538955606372696	0.0160424996417917	-0.355339934586274	-0.188455191836054	-0.496293180941667	-0.32389302366174	-0.0978798462717157	-0.542426075135049	-0.289861182640172	-0.367936769538726	-0.313105932370588	-0.369064682178922	-0.424029336440686	-0.342193658397549	-0.499326673330882	-0.354486580047794	-0.432867879985294	-0.102988635380882	-0.130858975264387	-0.0906887697337255	-0.30796478413027	-0.499202956629902	0.164533523407402	-0.259378973671569	-0.258091023522721	0.0765689951239706	-0.434181975459559	-0.500089580369608	0.149332918615758	-0.541798060105392	-0.536598195937745	0.116263629848088
1	WALKING	22	0.273491065862069	-0.0191069798893103	-0.107337031344828	-0.389198972758621	-0.0165312577113793	-0.341723341034483	0.945727495862069	-0.164700765	-0.0540422143448276	-0.980264034827586	-0.972575727586207	-0.963759393448276	0.0876727738965517	0.00379580113103448	-0.00654603210344827	-0.398711227117241	-0.0832336431482759	-0.576279945517241	-0.0264153386503448	-0.0680089765896552	0.0883666388965517	-0.494706410344828	-0.455824763827586	-0.387207703103448	-0.0846470537551724	-0.0306666995172414	-0.0490223191034483	-0.431924970344828	-0.585156948965517	-0.500491789482759	-0.218419177103448	-0.44879245	-0.218419177103448	-0.44879245	-0.325975482752034	-0.305662771448276	-0.341812349413793	-0.517917317241379	-0.519106097931034	-0.56900932137931	-0.40218727862069	-0.0438067364282759	-0.429815246551724	-0.385576946896552	-0.0661373830586207	-0.347897625896552	-0.347825272827586	0.0221778148965517	-0.00259297681724138	-0.435175805655172	-0.159777873618621	-0.553079072068966	-0.415879704310345	-0.0648096692758621	-0.598799396896552	-0.31648638437931	-0.349498431827586	-0.33250843862069	-0.421192140344828	-0.49563116	-0.393222794	-0.520274711034483	-0.438031326586207	-0.442815894137931	-0.100567904531034	-0.121619300824138	-0.0823956951827586	-0.393879161137931	-0.568382357586207	0.199206175793103	-0.331116321827586	-0.281589882068966	0.0443334885862069	-0.527359321034483	-0.600835992413793	0.236652785206897	-0.599619080689655	-0.563665684482759	0.168755722010345
2	WALKING_UPSTAIRS	26	0.244036787294915	-0.0347375036945763	-0.121119964910169	-0.228458712237288	0.0191465525118644	-0.205657064688136	0.887342864067797	-0.308890439508475	-0.145716394720339	-0.93302159	-0.914489415254237	-0.894832456271186	0.0958017557288136	0.00991166269152542	0.000892545754237288	-0.358724059	-0.302725461762712	-0.621964673898305	0.0807730941942373	-0.155883553734746	0.0230929879830508	-0.440078110847458	-0.418563428394915	-0.29443882621322	-0.122940037983051	-0.0514109699	-0.0816246785079661	-0.53742017	-0.691802471016949	-0.556994133220339	-0.0802066679542373	-0.294291351423729	-0.0802066679542373	-0.294291351423729	-0.36746386040678	-0.403859102322034	-0.207621840094915	-0.344058291972881	-0.611586283728814	-0.686157461694915	-0.308549103508475	-0.109111189794915	-0.384847830220339	-0.200646638436441	0.016208164879661	-0.179690330752542	-0.398765072576271	-0.168339938372881	-0.249753599711864	-0.390437849979661	-0.333514755050847	-0.583463181864407	-0.383681953152542	-0.31745816397661	-0.659363295932203	-0.289458587152542	-0.458553934050847	-0.372698162974576	-0.366000051288136	-0.51219235	-0.323814156267797	-0.46819583559322	-0.376901591016949	-0.35380961289661	-0.179850337745763	-0.320444277762712	-0.195156952010169	-0.289551303510169	-0.407453055762712	-0.00329215585932203	-0.366928375372881	-0.460736366	0.121320523781356	-0.455210223084746	-0.38720496640678	-0.160164067555932	-0.674123129830508	-0.726409823559322	0.158724937186441
2	WALKING_UPSTAIRS	27	0.264984330699468	-0.027014428003258	-0.119847991055851	-0.222048521336782	-0.01467350864	-0.233674440384309	0.877888466994681	-0.292889236295213	-0.121141670755665	-0.949060919228723	-0.925862448138298	-0.911241826994681	0.0662133763349734	0.00711390429869681	0.00225668311465426	-0.354328787055851	-0.320627964492819	-0.631183397340426	-0.00184838619494681	-0.0826699438954521	0.0636411047165692	-0.453445534538298	-0.420291742135638	-0.257151080655106	-0.114958626245479	-0.0325297442253989	-0.0537395952422872	-0.540565091901862	-0.687289432340425	-0.561071909894681	-0.100776550163324	-0.264672250701702	-0.100776550163324	-0.264672250701702	-0.381291940915691	-0.382325532961436	-0.20345546063625	-0.37053901724734	-0.615204488699468	-0.679175078210106	-0.286465222133511	-0.124749337806117	-0.392904963078723	-0.199540702467952	-0.0244299396235638	-0.214962443110824	-0.433351847457181	-0.145698828667606	-0.239742753523112	-0.385282169281649	-0.344648433318617	-0.596361192074468	-0.380693110755851	-0.342354873082713	-0.665062657632979	-0.33174084511117	-0.425375358918085	-0.431712014356915	-0.377410671124468	-0.505759050414894	-0.307223404217819	-0.481869465228723	-0.383799541063564	-0.31309880629016	-0.207284172851862	-0.310220503961968	-0.244775899679628	-0.27267840191367	-0.376506576819149	-0.0365476628281915	-0.352577692777128	-0.428346806900798	0.0654253700513298	-0.470195163679255	-0.417050534505319	-0.162220296447503	-0.671060222347075	-0.714687355212766	0.123039585124388
2	WALKING_UPSTAIRS	28	0.263634559217277	-0.0249993359756746	-0.11791757128377	-0.282487485348429	-0.0602714795990314	-0.201077299081414	0.86935816447644	-0.258581963717277	-0.173463650981832	-0.950847074005236	-0.929555901937173	-0.910545034188482	0.0760443931874346	0.00535744805240838	-0.00335202784858639	-0.422730078376963	-0.390728972685864	-0.640980041151832	-0.0177237709330628	-0.062835527178534	0.0598414413686911	-0.491787566209424	-0.424330212523037	-0.264315297295288	-0.106467802068351	-0.0501054282477487	-0.0645186112090838	-0.60822065421466	-0.711036844502618	-0.617606488267382	-0.14516670094788	-0.283209587874607	-0.14516670094788	-0.283209587874607	-0.439884530358639	-0.432701257646597	-0.231925446671728	-0.393023025788482	-0.657988374162304	-0.709816476623037	-0.346417157903141	-0.188354717023298	-0.389304014659162	-0.260244640015079	-0.0590843308298429	-0.171520717106545	-0.453787261700524	-0.21343812484555	-0.266425914074084	-0.448534823164921	-0.416352019367539	-0.607591056570681	-0.448584981890052	-0.404915761331937	-0.673433887251309	-0.351882128109424	-0.471718721253141	-0.452162548473822	-0.448154118481152	-0.526990315866492	-0.356222553979843	-0.511253950641361	-0.378362581849215	-0.30737149929267	-0.267490741646152	-0.32343054710288	-0.306544124701047	-0.306474517997906	-0.383095918897906	-0.080090031950445	-0.406094235793194	-0.473665351706806	0.0617598187373298	-0.508528856006021	-0.425527629840838	-0.211937335071728	-0.702270080052356	-0.741882382015707	0.0821798267940838
2	WALKING_UPSTAIRS	29	0.260156205915698	-0.0255277968044767	-0.116596206858721	-0.210288884379506	-0.0302252450021512	-0.124949149786047	0.885537065174419	-0.270036660438953	-0.141346334882733	-0.949939135406977	-0.923903629447674	-0.899866941598837	0.0970409714167442	0.00917361847369186	-0.016366407000407	-0.341693785779651	-0.362560851827297	-0.628083634581395	0.0107323707348837	-0.100087071791797	0.06399635330375	-0.471098736286337	-0.277876164097384	-0.262616722757267	-0.118709702815756	-0.0456626031402326	-0.0488033779965698	-0.550611619369186	-0.65096563247093	-0.562291039084302	-0.0807664260975581	-0.203758165284593	-0.0807664260975581	-0.203758165284593	-0.38917066200814	-0.376607607197674	-0.153630509914884	-0.300609894568721	-0.600174058631105	-0.651369740610465	-0.262257651305233	-0.148838242096221	-0.355871774890988	-0.192407572890116	-0.0347768809899709	-0.083935982570843	-0.447788832270349	-0.18179534356686	-0.30885119025875	-0.377391203660756	-0.388715511207733	-0.594717617848837	-0.36449823593314	-0.37826840606686	-0.660462956395349	-0.380721043185756	-0.473874298002907	-0.471318400438954	-0.388232274932558	-0.429780212131395	-0.303731073139244	-0.500925032171512	-0.211364852863372	-0.320372200363372	-0.19826007984436	-0.32287047822936	-0.252960250220058	-0.230230562908721	-0.314749110973837	-0.0921786387797093	-0.347337114194767	-0.422248493612616	0.030691488929157	-0.421351519157267	-0.345699902856977	-0.165458389857442	-0.643496983546512	-0.688392470072674	0.0684950788527035
